region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
Valladolid,13:00del13/04/2019,MEDINADELCAMPO,48,104ug/m3,2ug/m3,1ug/m3,,22.13ug/m3,
Valladolid,11:00del13/04/2019,ARCODELADRILLOII,66,,36ug/m3,,19.25ug/m3,25.5ug/m3,500ug/m3
Valladolid,13:00del13/04/2019,PUENTEREGUERAL,59,,8ug/m3,,15.88ug/m3,27.88ug/m3,
Valladolid,11:00del13/04/2019,ENERGYWORKS-VA1,30,63ug/m3,37ug/m3,,,,
Vizcaya,12:00del13/04/2019,ABANTO,21,,41ug/m3,12ug/m3,,20.5ug/m3,
Vizcaya,12:00del13/04/2019,BARAKALDO,40,,79ug/m3,5ug/m3,,,190ug/m3
Vizcaya,11:00del13/04/2019,BASAURI,20,,27ug/m3,9ug/m3,,22ug/m3,
Vizcaya,12:00del13/04/2019,CASTREJANA,33,71ug/m3,,,,,
Vizcaya,13:00del13/04/2019,MAZARREDO,18,,24ug/m3,9ug/m3,,19.88ug/m3,160ug/m3
Vizcaya,11:00del13/04/2019,PARQUEEUROPA,64,56ug/m3,26ug/m3,8ug/m3,18.25ug/m3,21.5ug/m3,
Vizcaya,12:00del13/04/2019,DIRECCIÓNDESALUD,27,,55ug/m3,,,19.13ug/m3,
Vizcaya,12:00del13/04/2019,DURANGO,46,83ug/m3,15ug/m3,2ug/m3,11.13ug/m3,15.13ug/m3,
Vizcaya,10:00del13/04/2019,ERANDIO,43,,30ug/m3,8ug/m3,10.38ug/m3,12.38ug/m3,250ug/m3
Vizcaya,13:00del13/04/2019,MUNDAKA,58,113ug/m3,7ug/m3,,,19.75ug/m3,
Vizcaya,11:00del13/04/2019,MUSKIZ,26,56ug/m3,34ug/m3,12ug/m3,,,
Vizcaya,10:00del13/04/2019,SANGRONIZ,28,,19ug/m3,,,30.38ug/m3,
Vizcaya,11:00del13/04/2019,ZALLA,53,50ug/m3,25ug/m3,3ug/m3,13.13ug/m3,20.38ug/m3,
Zamora,11:00del13/04/2019,ZAMORA2,20,43ug/m3,22ug/m3,2ug/m3,,17.25ug/m3,
Zamora,13:00del13/04/2019,PEÑAUSENDE,61,116.65ug/m3,0.35ug/m3,0.33ug/m3,,,
Zaragoza,12:00del13/04/2019,ALAGÓN,40,85.25ug/m3,17.25ug/m3,2ug/m3,,,300ug/m3
Zaragoza,12:00del13/04/2019,BUJARALOZ,50,107.25ug/m3,5.5ug/m3,,,,
Zaragoza,12:00del13/04/2019,AVENIDASORIA,50,107.75ug/m3,18.95ug/m3,5.71ug/m3,,5.27ug/m3,110ug/m3
Zaragoza,12:00del13/04/2019,CENTRO,41,88.65ug/m3,18.74ug/m3,4.32ug/m3,,,180ug/m3
Zaragoza,13:00del13/04/2019,ELPICARRAL,74,124.52ug/m3,14.31ug/m3,,,9.04ug/m3,150ug/m3
Zaragoza,13:00del13/04/2019,JAIMEFERRÁN,71,122.3ug/m3,,6.71ug/m3,,,160ug/m3
Zaragoza,13:00del13/04/2019,LASFUENTES,48,103.19ug/m3,18.74ug/m3,6.2ug/m3,,4.13ug/m3,180ug/m3
Zaragoza,13:00del13/04/2019,RENOVALES,49,105.58ug/m3,15.4ug/m3,2.45ug/m3,,17.39ug/m3,120ug/m3
Zaragoza,12:00del13/04/2019,ROGERDEFLOR,46,99.87ug/m3,18.93ug/m3,2.84ug/m3,,25.54ug/m3,220ug/m3
