region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
b'Asturias',b'06:00del12/04/2019',b'TRUBIAPISCINAS',b'20',b'9ug/m3',b'20ug/m3',b'2.2ug/m3',b'',b'21.83ug/m3',b'530ug/m3'
b'Asturias',b'07:00del12/04/2019',b'PALACIODEDEPORTES',b'63',b'11ug/m3',b'46ug/m3',b'5ug/m3',b'17.75ug/m3',b'36.25ug/m3',b'340ug/m3'
b'Asturias',b'07:00del12/04/2019',b'BLIMEA',b'21',b'32ug/m3',b'3ug/m3',b'2ug/m3',b'',b'22.25ug/m3',b'110ug/m3'
b'\xc3\x81vila',b'12:00del13/04/2019',b'\xc3\x81VILA2',b'71',b'122ug/m3',b'3ug/m3',b'3ug/m3',b'',b'7.25ug/m3',b''
b'Badajoz',b'12:00del13/04/2019',b'BADAJOZ',b'43',b'92ug/m3',b'5.2ug/m3',b'3.9ug/m3',b'',b'',b'60ug/m3'
b'Badajoz',b'13:00del13/04/2019',b'ZAFRA',b'40',b'86ug/m3',b'4.3ug/m3',b'3ug/m3',b'',b'',b'1000ug/m3'
b'Badajoz',b'13:00del13/04/2019',b'MERIDA',b'50',b'108ug/m3',b'5.8ug/m3',b'1.2ug/m3',b'',b'',b'600ug/m3'
b'Baleares',b'12:00del13/04/2019',b'ALCUDIAI',b'51',b'110ug/m3',b'9.3ug/m3',b'2.9ug/m3',b'',b'21.5ug/m3',b''
b'Baleares',b'13:00del13/04/2019',b'CIUTADELLADEMENORCA',b'54',b'111ug/m3',b'3ug/m3',b'',b'',b'20.75ug/m3',b''
b'Baleares',b'12:00del13/04/2019',b'CANMISSES',b'80',b'127ug/m3',b'5.5ug/m3',b'3.6ug/m3',b'',b'23.03ug/m3',b''
b'Baleares',b'12:00del13/04/2019',b'DALTVILA',b'77',b'125ug/m3',b'3.3ug/m3',b'4.4ug/m3',b'',b'',b''
b'Baleares',b'13:00del13/04/2019',b'MENUT',b'71',b'122ug/m3',b'',b'',b'',b'',b''
b'Baleares',b'13:00del13/04/2019',b'MAH\xc3\x93N',b'61',b'116.83ug/m3',b'2.73ug/m3',b'0.53ug/m3',b'',b'',b''
b'Baleares',b'12:00del13/04/2019',b'POUS',b'44',b'93ug/m3',b'8.2ug/m3',b'0.9ug/m3',b'',b'20.25ug/m3',b''
b'Baleares',b'12:00del03/01/2019',b'SANTLLUIS',b'--',b'',b'',b'',b'',b'',b''
b'Baleares',b'-',b'BELLVER',b'--',b'',b'',b'',b'',b'',b''
b'Baleares',b'13:00del13/04/2019',b'FONERS',b'47',b'101ug/m3',b'16ug/m3',b'2ug/m3',b'',b'27.5ug/m3',b'400ug/m3'
b'Baleares',b'12:00del13/04/2019',b'SANTJOANDED\xc3\x89U',b'51',b'110ug/m3',b'5.1ug/m3',b'1.3ug/m3',b'',b'32.5ug/m3',b''
b'Baleares',b'12:00del13/04/2019',b'UIB-PARCBIT',b'44',b'93ug/m3',b'23ug/m3',b'1.6ug/m3',b'',b'',b''
b'Baleares',b'12:00del13/04/2019',b'CANLLOMPART',b'80',b'128ug/m3',b'5.6ug/m3',b'1.5ug/m3',b'',b'11.58ug/m3',b''
b'Baleares',b'12:00del13/04/2019',b'HOSPITALJOANMARCH',b'50',b'107ug/m3',b'11ug/m3',b'2.9ug/m3',b'',b'',b''
b'Baleares',b'12:00del13/04/2019',"b""S'ALBUFERA""",b'71',b'121ug/m3',b'3.8ug/m3',b'2ug/m3',b'',b'',b''
b'Baleares',b'12:00del13/04/2019',b'SAPOBLA',b'58',b'113ug/m3',b'4.8ug/m3',b'1.6ug/m3',b'',b'17.41ug/m3',b''
b'Baleares',b'13:00del13/04/2019',b'SANTANTONIDEPORTMANY',b'71',b'121ug/m3',b'3ug/m3',b'',b'',b'13.25ug/m3',b''
b'Baleares',b'12:00del13/04/2019',b'TORRENT-SANTAEULALIA',b'71',b'122ug/m3',b'5ug/m3',b'4.6ug/m3',b'',b'15.69ug/m3',b''
b'Barcelona',b'12:00del13/04/2019',b'Badalona(Mont-roig-Ausi\xc3\xa0sMarch)',b'45',b'98ug/m3',b'12ug/m3',b'5ug/m3',b'',b'',b''
b'Barcelona',b'13:00del13/04/2019',b'Barber\xc3\xa0delVall\xc3\xa8s(Moragues-Montserrat)',b'7',b'',b'14ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'Barcelona(Ciutadella)',b'31',b'66ug/m3',b'22ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'Barcelona(elPoblenou)',b'10',b'',b'20ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'Barcelona(Gr\xc3\xa0cia-SantGervasi)',b'24',b'51ug/m3',b'35ug/m3',b'3ug/m3',b'',b'',b'400ug/m3'
b'Barcelona',b'12:00del13/04/2019',"b""Barcelona(l'Eixample)""",b'30',b'47ug/m3',b'60ug/m3',b'5ug/m3',b'',b'',b'300ug/m3'
b'Barcelona',b'12:00del13/04/2019',"b""Barcelona(parcdelaValld'Hebron)""",b'36',b'78ug/m3',b'25ug/m3',b'2ug/m3',b'',b'',b'300ug/m3'
b'Barcelona',b'11:00del13/04/2019',b'Barcelona(Sants)',b'18',b'',b'35ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'Berga(poliesportiu)',b'39',b'83ug/m3',b'10ug/m3',b'1ug/m3',b'',b'',b''
b'Barcelona',b'13:00del13/04/2019',b'CastelletilaGornal(Clariana)',b'7',b'',b'13ug/m3',b'1ug/m3',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'Cubelles(poliesportiu)',b'3',b'',b'5ug/m3',b'1ug/m3',b'',b'',b''
b'Barcelona',b'11:00del13/04/2019',b'ElPratdeLlobregat(CEMSagnier)',b'35',b'75ug/m3',b'21ug/m3',b'4ug/m3',b'',b'',b'200ug/m3'
b'Barcelona',b'12:00del13/04/2019',b'elPratdeLlobregat(jardinsdelapau)',b'12',b'',b'25ug/m3',b'4ug/m3',b'',b'',b''
b'Barcelona',b'11:00del13/04/2019',b'Gav\xc3\xa0(parcdelMil\xc2\xb7leni)',b'40',b'85ug/m3',b'19ug/m3',b'3ug/m3',b'',b'',b'300ug/m3'
b'Barcelona',b'12:00del13/04/2019',b'Granollers(FrancescMaci\xc3\xa0)',b'41',b'88ug/m3',b'22ug/m3',b'',b'',b'27.88ug/m3',b''
b'Barcelona',b'-',b'Igualada(laMasuca)',b'--',b'',b'',b'',b'',b'',b''
b'Barcelona',b'13:00del13/04/2019',"b""l'HospitaletdeLlobregat(av.delTorrentGornal)""",b'24',b'',b'47ug/m3',b'',b'',b'17.5ug/m3',b''
b'Barcelona',b'12:00del13/04/2019',b'Manlleu(hospitalcomarcal)',b'42',b'89ug/m3',b'8ug/m3',b'1ug/m3',b'',b'',b''
b'Barcelona',b'11:00del13/04/2019',b'Martorell(Canyameres-Claret)',b'10',b'',b'20ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'Matar\xc3\xb3(passeigdelsMolins)',b'48',b'104ug/m3',b'13ug/m3',b'2ug/m3',b'',b'',b'200ug/m3'
b'Barcelona',b'13:00del13/04/2019',"b""MolletdelVall\xc3\xa8s(pistad'atletisme)""",b'6',b'',b'11ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'MontcadaiReixac(pl.deLlu\xc3\xadsCompanys)',b'42',b'90ug/m3',b'21ug/m3',b'1ug/m3',b'',b'',b'200ug/m3'
b'Barcelona',b'11:00del13/04/2019',b'Montseny(laCastanya)',b'47',b'101ug/m3',b'3ug/m3',b'1ug/m3',b'',b'',b'100ug/m3'
b'Barcelona',b'10:00del13/04/2019',b'Pallej\xc3\xa0(RocadeVilana)',b'6',b'',b'11ug/m3',b'3ug/m3',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',"b""Rub\xc3\xad(can'Oriol)""",b'46',b'100ug/m3',b'7ug/m3',b'3ug/m3',b'',b'17.25ug/m3',b'300ug/m3'
b'Barcelona',b'12:00del13/04/2019',b'Sabadell(GranVia)',b'39',b'83ug/m3',b'24ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del01/02/2019',b'SantFeliudeLlobregat(CEIPMart\xc3\xadiPol)',b'--',b'',b'',b'',b'',b'',b''
b'Barcelona',b'13:00del13/04/2019',b'SantAdri\xc3\xa0deBes\xc3\xb2s(Ol\xc3\xadmpic)',b'48',b'103ug/m3',b'9ug/m3',b'',b'',b'24.5ug/m3',b''
b'Barcelona',b'13:00del13/04/2019',b'SantAndreudelaBarca(CEIPJosepPla)',b'11',b'',b'22ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'SantCeloni(CarlesDamm)',b'44',b'94ug/m3',b'11ug/m3',b'1ug/m3',b'',b'17.88ug/m3',b''
