region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
b'Ourense',b'11:00del13/04/2019',b'GOMEZFRANQUEIRA',b'50',b'54ug/m3',b'24ug/m3',b'1ug/m3',b'11.88ug/m3',b'13.73ug/m3',b'240ug/m3'
b'Ourense',b'11:00del13/04/2019',b'XINZODELIMIA',b'42',b'68ug/m3',b'12ug/m3',b'1ug/m3',b'10.13ug/m3',b'15.88ug/m3',b'100ug/m3'
b'Palencia',b'12:00del13/04/2019',b'GUARDO',b'39',b'83ug/m3',b'7ug/m3',b'24ug/m3',b'',b'6.5ug/m3',b''
b'Palencia',b'13:00del13/04/2019',b'PALENCIA3',b'49',b'105ug/m3',b'19ug/m3',b'4ug/m3',b'',b'32.63ug/m3',b''
b'Pontevedra',b'11:00del13/04/2019',b'LAL\xc3\x8dN',b'42',b'90ug/m3',b'6.2ug/m3',b'3.8ug/m3',b'',b'22.88ug/m3',b'110ug/m3'
b'Pontevedra',b'12:00del13/04/2019',b'PONTEAREAS',b'28',b'59ug/m3',b'8.3ug/m3',b'1ug/m3',b'',b'',b''
b'Pontevedra',b'12:00del13/04/2019',b'CAMPOLONGO',b'53',b'66ug/m3',b'18ug/m3',b'1.3ug/m3',b'13.04ug/m3',b'13.53ug/m3',b'330ug/m3'
b'Pontevedra',b'12:00del13/04/2019',b'ARENAL',b'61',b'42ug/m3',b'31ug/m3',b'1ug/m3',b'16.63ug/m3',b'23.25ug/m3',b'120ug/m3'
b'Pontevedra',b'11:00del13/04/2019',b'LOPEDEVEGA',b'31',b'65ug/m3',b'20ug/m3',b'1ug/m3',b'',b'21.63ug/m3',b'100ug/m3'
b'Salamanca',b'12:00del13/04/2019',b'ELMAILLO',b'64',b'117ug/m3',b'1ug/m3',b'2ug/m3',b'',b'7.5ug/m3',b''
b'Salamanca',b'11:00del13/04/2019',b'SALAMANCA6',b'31',b'66ug/m3',b'6ug/m3',b'1ug/m3',b'',b'13ug/m3',b''
b'Salamanca',b'12:00del13/04/2019',b'SALAMANCA5',b'25',b'',b'12ug/m3',b'41ug/m3',b'',b'27.25ug/m3',b'500ug/m3'
b'Segovia',b'12:00del13/04/2019',b'SEGOVIA2',b'84',b'129ug/m3',b'4ug/m3',b'1ug/m3',b'',b'14.13ug/m3',b''
b'Sevilla',b'11:00del13/04/2019',b'ALCAL\xc3\x81DEGUADAIRA',b'30',b'64ug/m3',b'26ug/m3',b'4ug/m3',b'',b'',b'291ug/m3'
b'Sevilla',b'11:00del13/04/2019',b'DOSHERMANAS',b'33',b'72ug/m3',b'10ug/m3',b'5ug/m3',b'',b'',b'570ug/m3'
b'Sevilla',b'11:00del10/04/2019',b'COBRELASCRUCES',b'--',b'',b'',b'',b'',b'',b''
b'Sevilla',b'11:00del13/04/2019',b'ALJARAFE',b'29',b'62ug/m3',b'27ug/m3',b'8ug/m3',b'',b'',b''
b'Sevilla',b'11:00del13/04/2019',b'SIERRANORTE',b'48',b'103ug/m3',b'2ug/m3',b'9ug/m3',b'',b'',b''
b'Sevilla',b'11:00del13/04/2019',b'BERMEJALES',b'24',b'52ug/m3',b'46ug/m3',b'13ug/m3',b'',b'',b'467ug/m3'
b'Sevilla',b'02:00del13/04/2019',b'CENTRO',b'25',b'19ug/m3',b'50ug/m3',b'5ug/m3',b'',b'',b'326ug/m3'
b'Sevilla',b'11:00del13/04/2019',b'LARANILLA',b'26',b'',b'53ug/m3',b'10ug/m3',b'',b'',b'151ug/m3'
b'Sevilla',b'00:00del13/04/2019',b'PRINCIPES',b'9',b'',b'18ug/m3',b'6ug/m3',b'',b'',b'197ug/m3'
b'Sevilla',b'11:00del13/04/2019',b'SANJER\xc3\x93NIMO',b'28',b'59ug/m3',b'12ug/m3',b'',b'',b'',b''
b'Sevilla',b'10:00del13/04/2019',b'SANTACLARA',b'20',b'43ug/m3',b'21ug/m3',b'',b'',b'',b'210ug/m3'
b'Sevilla',b'11:00del13/04/2019',b'TORNEO',b'21',b'45ug/m3',b'37ug/m3',b'5ug/m3',b'',b'',b'888ug/m3'
b'Soria',b'12:00del13/04/2019',b'MURIELDELAFUENTE',b'61',b'115ug/m3',b'3ug/m3',b'4ug/m3',b'',b'',b''
b'Soria',b'12:00del13/04/2019',b'SORIA',b'44',b'95ug/m3',b'32ug/m3',b'1ug/m3',b'',b'15.88ug/m3',b'800ug/m3'
b'Tarragona',b'10:00del13/04/2019',b'Alcanar(LlardeJubilats)',b'2',b'',b'4ug/m3',b'',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'Alcover(Mestral)',b'58',b'114ug/m3',b'7ug/m3',b'3ug/m3',b'',b'',b'200ug/m3'
b'Tarragona',b'12:00del13/04/2019',b'Amposta(SantDom\xc3\xa8nec-It\xc3\xa0lia)',b'51',b'109ug/m3',b'5ug/m3',b'',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'Constant\xc3\xad(Gaud\xc3\xad)',b'45',b'98ug/m3',b'15ug/m3',b'1ug/m3',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'elsGuiamets(campdefutbol)',b'47',b'102ug/m3',b'',b'',b'',b'',b''
b'Tarragona',b'11:00del13/04/2019',b'Gandesa(CreuRoja)',b'50',b'107ug/m3',b'',b'',b'',b'',b''
b'Tarragona',b'10:00del13/04/2019',"b""l'AmetlladeMar(deixalleria)""",b'2',b'',b'3ug/m3',b'1ug/m3',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'Tarragona(Bonavista)',b'12',b'',b'25ug/m3',b'13ug/m3',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'laS\xc3\xa9nia(repetidor)',b'71',b'121ug/m3',b'',b'',b'',b'',b''
b'Tarragona',b'10:00del13/04/2019',"b""Vandell\xc3\xb2sil'Hospitaletdel'Infant(viver)""",b'3',b'',b'6ug/m3',b'2ug/m3',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'Perafort(Puigdelf\xc3\xad)',b'7',b'',b'13ug/m3',b'14ug/m3',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'Reus(elTallapedra)',b'49',b'105ug/m3',b'14ug/m3',b'',b'',b'25.75ug/m3',b'200ug/m3'
b'Tarragona',b'12:00del13/04/2019',b'Tarragona(parcdelaCiutat)',b'44',b'94ug/m3',b'37ug/m3',b'11ug/m3',b'',b'',b'300ug/m3'
b'Tarragona',b'12:00del13/04/2019',b'Tarragona(SantSalvador)',b'9',b'',b'19ug/m3',b'17ug/m3',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'Tarragona(UniversitatLaboral)',b'10',b'',b'21ug/m3',b'11ug/m3',b'',b'',b''
b'Tarragona',b'11:00del13/04/2019',"b""Vandell\xc3\xb2sil'Hospitaletdel'Infant(barrancdelTerme)""",b'2',b'',b'3ug/m3',b'',b'',b'',b''
b'Tarragona',b'11:00del13/04/2019',"b""Vandell\xc3\xb2sil'Hospitaletdel'Infant(elsDedalts)""",b'3',b'',b'5ug/m3',b'',b'',b'',b''
b'Tarragona',b'12:00del13/04/2019',b'Vila-seca(RENFE)',b'47',b'101ug/m3',b'7ug/m3',b'1ug/m3',b'',b'',b''
b'Tenerife',b'01:00del11/04/2019',b'LAHIDALGA-ARAFO',b'--',b'',b'',b'',b'',b'',b''
b'Tenerife',b'01:00del11/04/2019',b'ECHEDO-VALVERDE',b'--',b'',b'',b'',b'',b'',b''
b'Tenerife',b'01:00del11/04/2019',b'RESIDENCIAESCOLAR-SSGOMERA',b'--',b'',b'',b'',b'',b'',b''
b'Tenerife',b'01:00del11/04/2019',b'LASBALSAS-S.ANDR\xc3\x89SYSAUCES',b'--',b'',b'',b'',b'',b'',b''
b'Tenerife',b'01:00del11/04/2019',b'TIOPINO-STACRUZDETENERIFE',b'--',b'',b'',b'',b'',b'',b''
b'Tenerife',b'01:00del11/04/2019',b'TOMECANO',b'--',b'',b'',b'',b'',b'',b''
b'Tenerife',b'01:00del11/04/2019',b'PISCINAMUNICIPAL-STACRUZDETF',b'--',b'',b'',b'',b'',b'',b''
b'Tenerife',b'01:00del01/04/2019',b'TENAARTIGAS-STACRUZDETENERIFE',b'--',b'',b'',b'',b'',b'',b''
b'Teruel',b'11:00del13/04/2019',b'TERUEL',b'42',b'90.25ug/m3',b'4.6667ug/m3',b'3ug/m3',b'',b'',b''
b'Toledo',b'12:00del13/04/2019',b'ESTACI\xc3\x93NDELASAGRA(ILLESCAS)',b'49',b'106ug/m3',b'14ug/m3',b'3ug/m3',b'',b'28ug/m3',b''
b'Toledo',b'12:00del13/04/2019',b'TALAVERADELAREINA',b'48',b'104ug/m3',b'11ug/m3',b'2ug/m3',b'',b'12.63ug/m3',b''
b'Toledo',b'12:00del13/04/2019',b'TOLEDO2',b'50',b'101ug/m3',b'12ug/m3',b'2ug/m3',b'12ug/m3',b'18ug/m3',b''
b'Valencia',b'13:00del13/04/2019',b'ALBALATDELSTARONGERS',b'54',b'111ug/m3',b'11ug/m3',b'3ug/m3',b'8.88ug/m3',b'9.88ug/m3',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'ALGARDEPAL\xc3\x80NCIA',b'49',b'106ug/m3',b'12ug/m3',b'3ug/m3',b'10ug/m3',b'12.38ug/m3',b'100ug/m3'
b'Valencia',b'12:00del13/04/2019',b'ALZIRA',b'64',b'118ug/m3',b'7ug/m3',b'3ug/m3',b'',b'',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'BENIGANIM',b'48',b'104ug/m3',b'',b'',b'',b'',b''
b'Valencia',b'13:00del13/04/2019',b'BU\xc3\x91OLCEMEX',b'47',b'102ug/m3',b'5ug/m3',b'3ug/m3',b'7.63ug/m3',b'9.38ug/m3',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'BURJASSOT-FACULTATS',b'67',b'120ug/m3',b'16ug/m3',b'5ug/m3',b'',b'',b''
b'Valencia',b'13:00del13/04/2019',b'CAUDETEDELASFUENTES',b'67',b'120ug/m3',b'3ug/m3',b'3ug/m3',b'11ug/m3',b'13.13ug/m3',b''
b'Valencia',b'13:00del13/04/2019',b'CORTESDEPALL\xc3\x81S',b'108',b'146ug/m3',b'',b'',b'',b'',b''
b'Valencia',b'13:00del13/04/2019',b'QUARTDEPOBLET',b'67',b'119ug/m3',b'14ug/m3',b'3ug/m3',b'12.25ug/m3',b'21.25ug/m3',b''
b'Valencia',b'12:00del13/04/2019',b'GAND\xc3\x8dA',b'47',b'101ug/m3',b'8ug/m3',b'6ug/m3',b'',b'',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'ONTINYENT',b'64',b'117ug/m3',b'',b'',b'',b'',b''
b'Valencia',b'13:00del13/04/2019',b'PATERNA-CEAM',b'61',b'116ug/m3',b'11ug/m3',b'3ug/m3',b'',b'',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'SAGUNTCEA',b'67',b'120ug/m3',b'5ug/m3',b'3ug/m3',b'5.38ug/m3',b'8.88ug/m3',b'200ug/m3'
b'Valencia',b'13:00del13/04/2019',b'SAGUNTPORT',b'61',b'115ug/m3',b'14ug/m3',b'3ug/m3',b'',b'',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'SAGUNT-NORD',b'47',b'101ug/m3',b'13ug/m3',b'',b'',b'',b''
b'Valencia',b'12:00del13/04/2019',b'VAL\xc3\x88NCIA-BULEVARDSUD',b'41',b'87ug/m3',b'5ug/m3',b'3ug/m3',b'',b'',b''
b'Valencia',b'13:00del13/04/2019',b'TORREBAJA',b'77',b'125ug/m3',b'',b'',b'',b'',b''
b'Valencia',b'19:00del03/10/2018',b'TORRENT-ELVEDAT',b'--',b'',b'',b'',b'',b'',b''
b'Valencia',b'13:00del13/04/2019',b'VAL\xc3\x88NCIA-AVD.FRANCIA',b'71',b'121ug/m3',b'14ug/m3',b'6ug/m3',b'13.5ug/m3',b'19.38ug/m3',b'100ug/m3'
b'Valencia',b'12:00del13/04/2019',b'VAL\xc3\x88NCIA-MOL\xc3\x8dDELSOL',b'67',b'104ug/m3',b'16ug/m3',b'4ug/m3',b'19.5ug/m3',b'22.13ug/m3',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'VAL\xc3\x88NCIA-PISTADESILLA',b'65',b'80ug/m3',b'46ug/m3',b'7ug/m3',b'18.75ug/m3',b'23.63ug/m3',b'400ug/m3'
b'Valencia',b'13:00del13/04/2019',b'VAL\xc3\x88NCIA-POLIT\xc3\x88CNIC',b'77',b'125ug/m3',b'4ug/m3',b'4ug/m3',b'17.38ug/m3',b'21.63ug/m3',b''
b'Valencia',b'12:00del13/04/2019',b'VAL\xc3\x88NCIA-VIVERS',b'50',b'107ug/m3',b'13ug/m3',b'4ug/m3',b'',b'',b''
b'Valencia',b'13:00del13/04/2019',b'VILAMARXANT',b'64',b'118ug/m3',b'1ug/m3',b'3ug/m3',b'5.75ug/m3',b'16.25ug/m3',b'100ug/m3'
b'Valencia',b'13:00del13/04/2019',b'VILLARDELARZOBISPO',b'64',b'118ug/m3',b'2ug/m3',b'3ug/m3',b'12ug/m3',b'21ug/m3',b''
b'Valencia',b'13:00del13/04/2019',b'ZARRA',b'67',b'119.29ug/m3',b'3.82ug/m3',b'0.79ug/m3',b'',b'',b''
b'Valladolid',b'11:00del13/04/2019',b'VEGASICILIA',b'65',b'69ug/m3',b'12ug/m3',b'',b'18.75ug/m3',b'25.75ug/m3',b''
b'Valladolid',b'11:00del13/04/2019',b'ENERGYWORKS-VA2',b'25',b'49ug/m3',b'51ug/m3',b'',b'',b'',b''
b'Valladolid',b'11:00del13/04/2019',b'VALLADOLIDSUR',b'29',b'61ug/m3',b'10ug/m3',b'',b'',b'',b''
b'Valladolid',b'11:00del13/04/2019',b'LARUBIAII',b'66',b'',b'18ug/m3',b'3ug/m3',b'19.38ug/m3',b'25.63ug/m3',b''
b'Valladolid',b'12:00del13/04/2019',b'MEDINADELCAMPO',b'44',b'95ug/m3',b'4ug/m3',b'1ug/m3',b'',b'22.25ug/m3',b''
b'Valladolid',b'11:00del13/04/2019',b'ARCODELADRILLOII',b'66',b'',b'36ug/m3',b'',b'19.25ug/m3',b'25.5ug/m3',b'500ug/m3'
b'Valladolid',b'11:00del13/04/2019',b'PUENTEREGUERAL',b'63',b'',b'34ug/m3',b'',b'17.88ug/m3',b'30.13ug/m3',b''
b'Valladolid',b'11:00del13/04/2019',b'ENERGYWORKS-VA1',b'30',b'63ug/m3',b'37ug/m3',b'',b'',b'',b''
b'Vizcaya',b'12:00del13/04/2019',b'ABANTO',b'21',b'',b'41ug/m3',b'12ug/m3',b'',b'20.5ug/m3',b''
b'Vizcaya',b'12:00del13/04/2019',b'BARAKALDO',b'40',b'',b'79ug/m3',b'5ug/m3',b'',b'',b'190ug/m3'
b'Vizcaya',b'11:00del13/04/2019',b'BASAURI',b'20',b'',b'27ug/m3',b'9ug/m3',b'',b'22ug/m3',b''
b'Vizcaya',b'12:00del13/04/2019',b'CASTREJANA',b'33',b'71ug/m3',b'',b'',b'',b'',b''
b'Vizcaya',b'13:00del13/04/2019',b'MAZARREDO',b'18',b'',b'24ug/m3',b'9ug/m3',b'',b'19.88ug/m3',b'160ug/m3'
b'Vizcaya',b'11:00del13/04/2019',b'PARQUEEUROPA',b'64',b'56ug/m3',b'26ug/m3',b'8ug/m3',b'18.25ug/m3',b'21.5ug/m3',b''
b'Vizcaya',b'12:00del13/04/2019',b'DIRECCI\xc3\x93NDESALUD',b'27',b'',b'55ug/m3',b'',b'',b'19.13ug/m3',b''
b'Vizcaya',b'12:00del13/04/2019',b'DURANGO',b'46',b'83ug/m3',b'15ug/m3',b'2ug/m3',b'11.13ug/m3',b'15.13ug/m3',b''
b'Vizcaya',b'10:00del13/04/2019',b'ERANDIO',b'43',b'',b'30ug/m3',b'8ug/m3',b'10.38ug/m3',b'12.38ug/m3',b'250ug/m3'
b'Vizcaya',b'13:00del13/04/2019',b'MUNDAKA',b'58',b'113ug/m3',b'7ug/m3',b'',b'',b'19.75ug/m3',b''
b'Vizcaya',b'11:00del13/04/2019',b'MUSKIZ',b'26',b'56ug/m3',b'34ug/m3',b'12ug/m3',b'',b'',b''
b'Vizcaya',b'10:00del13/04/2019',b'SANGRONIZ',b'28',b'',b'19ug/m3',b'',b'',b'30.38ug/m3',b''
b'Vizcaya',b'11:00del13/04/2019',b'ZALLA',b'53',b'50ug/m3',b'25ug/m3',b'3ug/m3',b'13.13ug/m3',b'20.38ug/m3',b''
b'Zamora',b'11:00del13/04/2019',b'ZAMORA2',b'20',b'43ug/m3',b'22ug/m3',b'2ug/m3',b'',b'17.25ug/m3',b''
b'Zamora',b'13:00del13/04/2019',b'PE\xc3\x91AUSENDE',b'61',b'116.65ug/m3',b'0.35ug/m3',b'0.33ug/m3',b'',b'',b''
b'Zaragoza',b'12:00del13/04/2019',b'ALAG\xc3\x93N',b'40',b'85.25ug/m3',b'17.25ug/m3',b'2ug/m3',b'',b'',b'300ug/m3'
b'Zaragoza',b'12:00del13/04/2019',b'BUJARALOZ',b'50',b'107.25ug/m3',b'5.5ug/m3',b'',b'',b'',b''
b'Zaragoza',b'12:00del13/04/2019',b'AVENIDASORIA',b'50',b'107.75ug/m3',b'18.95ug/m3',b'5.71ug/m3',b'',b'5.27ug/m3',b'110ug/m3'
b'Zaragoza',b'12:00del13/04/2019',b'CENTRO',b'41',b'88.65ug/m3',b'18.74ug/m3',b'4.32ug/m3',b'',b'',b'180ug/m3'
b'Zaragoza',b'13:00del13/04/2019',b'ELPICARRAL',b'74',b'124.52ug/m3',b'14.31ug/m3',b'',b'',b'9.04ug/m3',b'150ug/m3'
b'Zaragoza',b'13:00del13/04/2019',b'JAIMEFERR\xc3\x81N',b'71',b'122.3ug/m3',b'',b'6.71ug/m3',b'',b'',b'160ug/m3'
b'Zaragoza',b'13:00del13/04/2019',b'LASFUENTES',b'48',b'103.19ug/m3',b'18.74ug/m3',b'6.2ug/m3',b'',b'4.13ug/m3',b'180ug/m3'
b'Zaragoza',b'13:00del13/04/2019',b'RENOVALES',b'49',b'105.58ug/m3',b'15.4ug/m3',b'2.45ug/m3',b'',b'17.39ug/m3',b'120ug/m3'
b'Zaragoza',b'12:00del13/04/2019',b'ROGERDEFLOR',b'46',b'99.87ug/m3',b'18.93ug/m3',b'2.84ug/m3',b'',b'25.54ug/m3',b'220ug/m3'
